POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,"$501 - $1,500",09/20/2023 11:20:00 AM,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,10255,W,BALMORAL AVE,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,4,9,,,
15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,"OVER $1,500",10/09/2023 07:20:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,1,W,TERMINAL ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,10,,,
10,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,ANGLE,PARKING LOT,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,"$501 - $1,500",08/03/2023 01:55:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1320,E,47TH ST,222,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,7,7,41.809781151,-87.594212812,POINT (-87.594212812011 41.809781151018)
30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,NO INJURY / DRIVE AWAY,,Y,"OVER $1,500",07/29/2023 07:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,999,N,CALIFORNIA AVE,1211,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,7,7,41.899224596,-87.696642375,POINT (-87.696642374961 41.899224596015)
20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,"$501 - $1,500",09/20/2023 12:35:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2,W,TERMINAL ST,1652,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,4,9,,,
20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,"OVER $1,500",09/20/2023 04:55:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,5,W,TERMINAL ST,1655,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,9,,,
10,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,PARKING LOT,"CURVE, LEVEL",DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,"OVER $1,500",09/20/2023 09:30:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1,W,PARKING LOT E ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,4,9,,,
35,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",10/18/2020 04:22:00 PM,WEATHER,NOT APPLICABLE,3499,E,89TH ST,424,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,1,10,,,
25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,"$501 - $1,500",12/09/2021 10:35:00 AM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,850,W,OHARE ST,1654,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,10,5,12,,,
15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO SIDE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,"OVER $1,500",09/20/2023 04:00:00 PM,IMPROPER BACKING,NOT APPLICABLE,8300,S,STONY ISLAND AVE,412,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,4,9,41.744151639,-87.585945067,POINT (-87.585945066953 41.744151639042)
30,NO CONTROLS,NO CONTROLS,RAIN,DUSK,PEDESTRIAN,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",09/27/2019 06:00:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,2517,S,CALIFORNIA AVE,1034,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,18,6,9,,,
40,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,$500 OR LESS,09/13/2023 05:20:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,6800,S,CHICAGO SKYWAY OB,322,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,4,9,,,
30,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,"OVER $1,500",08/09/2023 08:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7458,S,LAFAYETTE AVE,731,2,NONINCAPACITATING INJURY,5,0,0,5,0,0,0,19,4,8,41.758245505,-87.626521907,POINT (-87.626521907009 41.758245504966)
30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,"OVER $1,500",08/13/2023 10:29:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3210,W,FOSTER AVE,1712,3,NO INDICATION OF INJURY,0,0,0,0,0,4,0,10,1,8,41.975852858,-87.70913432,POINT (-87.709134319958 41.975852858025)
20,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,"$501 - $1,500",02/19/2019 06:00:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1,W,TERMINAL ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,3,2,,,
30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,"OVER $1,500",09/06/2023 06:45:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1400,W,WEBSTER AVE,1811,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,4,9,41.921729807,-87.663234201,POINT (-87.663234201004 41.921729806985)
20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,"OVER $1,500",05/24/2021 03:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,517,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,2,5,,,
25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",11/27/2022 03:25:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,1,W,TERMINAL ST,1651,1,NO INDICATION OF INJURY,0,0,0,0,0,3,0,15,1,11,,,
30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,"$501 - $1,500",08/19/2023 02:58:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,800,W,GRAND AVE,1214,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,7,8,41.891293713,-87.647680593,POINT (-87.647680593026 41.891293712961)
30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,"OVER $1,500",07/31/2023 12:25:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,167,N,BESSIE COLEMAN DR,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,1,7,,,
20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,"OVER $1,500",06/10/2019 01:45:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1,W,TERMINAL ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,2,6,,,
20,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,"OVER $1,500",07/30/2023 05:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3741,W,FULLERTON AVE,2525,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,1,7,41.924441971,-87.721111935,POINT (-87.721111934959 41.924441970981)
30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,"OVER $1,500",08/19/2023 05:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1100,W,DIVISION ST,1822,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,7,8,41.903639931,-87.65554697,POINT (-87.655546970003 41.903639930952)
30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,"OVER $1,500",09/06/2023 11:30:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,3120,N,AUSTIN AVE,2511,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,11,4,9,41.937252171,-87.776320528,POINT (-87.776320528037 41.937252170984)
30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,"$501 - $1,500",09/06/2023 12:59:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,1545,W,NORTH AVE,1433,1,NONINCAPACITATING INJURY,2,0,0,2,0,0,0,0,4,9,41.910530014,-87.667050586,POINT (-87.66705058601 41.910530014022)
45,OTHER WARNING SIGN,FUNCTIONING PROPERLY,CLEAR,DUSK,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,"$501 - $1,500",07/30/2023 06:15:00 PM,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,8801,S,CHICAGO SKYWAY IB,423,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,18,1,7,,,
10,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",07/30/2023 09:31:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1,W,PARKING LOT E ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,1,7,,,
25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,CURVE ON GRADE,SNOW OR SLUSH,DEBRIS ON ROADWAY,ON SCENE,NO INJURY / DRIVE AWAY,,,"OVER $1,500",01/30/2022 08:45:00 AM,UNABLE TO DETERMINE,WEATHER,3,W,TERMINAL ST,1653,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,1,1,,,
25,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,RAMP,"CURVE, LEVEL",WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",09/21/2023 04:10:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,5,W,TERMINAL ST,1655,2,"REPORTED, NOT EVIDENT",2,0,0,0,2,1,0,16,5,9,,,
25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,ONE-WAY,"CURVE, LEVEL",OTHER,OTHER,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",08/19/2023 12:52:00 AM,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,NOT APPLICABLE,98,W,I190 EXPY,1654,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,7,8,,,
30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR TO FRONT,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,"$501 - $1,500",12/20/2022 11:55:00 AM,IMPROPER BACKING,FAILING TO YIELD RIGHT-OF-WAY,524,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,3,12,,,
30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,"OVER $1,500",06/11/2019 11:30:00 AM,NOT APPLICABLE,NOT APPLICABLE,1,W,OHARE ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,3,6,,,
10,NO CONTROLS,UNKNOWN,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,ALLEY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,NO INJURY / DRIVE AWAY,,,"$501 - $1,500",07/30/2023 12:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5835,S,ROCKWELL ST,824,2,NO INDICATION OF INJURY,0,0,0,0,0,8,0,11,1,7,41.787259181,-87.688593001,POINT (-87.688593000961 41.787259180975)
15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,"OVER $1,500",03/22/2019 12:20:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,524,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,6,3,,,
10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,"OVER $1,500",03/29/2021 02:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,516,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,14,2,3,,,
30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",09/06/2023 03:49:00 PM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,400,W,79TH PL,621,2,INCAPACITATING INJURY,2,0,2,0,0,2,0,15,4,9,41.749913202,-87.634585307,POINT (-87.634585307038 41.749913201957)
30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,"OVER $1,500",09/18/2021 03:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1,W,TERMINAL ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,7,9,,,
30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",07/30/2023 07:25:00 PM,IMPROPER LANE USAGE,FAILING TO REDUCE SPEED TO AVOID CRASH,3436,W,HURON ST,1121,3,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,1,7,41.893773028,-87.712756512,POINT (-87.712756512047 41.893773027997)
20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,"OVER $1,500",08/12/2019 06:50:00 AM,IMPROPER BACKING,NOT APPLICABLE,561,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,2,8,,,
15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,"OVER $1,500",08/21/2022 03:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1,W,TERMINAL ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,1,8,,,
30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,$500 OR LESS,07/30/2023 04:10:00 PM,NOT APPLICABLE,NOT APPLICABLE,13000,S,STONY ISLAND AVE,434,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,1,7,,,
25,OTHER,UNKNOWN,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,PARKING LOT,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,Y,"$501 - $1,500",09/21/2023 03:35:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,524,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,5,9,,,
